message_id,section,offset,recipient,from_display,subject,body,fact_refs,purpose,expected_face_to_face_action,status
V2M001,1,00:00,Everyone at Fifteen Years of R,R.,A reckoning,"Fifteen years is long enough to mistake repetition for identity. Vale promised to attend. Vale is absent. Before you honor R, ask what exactly you are honoring.",V2F040,"Open the identity and Vale questions without mentioning a finished article","Find the person whose claim about R most threatens your own",provisional
V2M002,1,04:00,Arden Bell,Veridian Archives,Intake discrepancy,"The First R Letter intake file is ready. The material date is plausible. The record does not say Frankie delivered it, and the expense entry places Frankie's account under strain.",V2F002;V2F003,"Make Arden trade archive limits rather than simply endorse Frankie","Decide what to show Frankie and what Veridian needs in return",provisional
V2M003,1,07:00,Frankie Lowell,Unknown number,Your meeting,"Vale asked whether you remembered meeting R or remembered telling the story. Vale said the difference would matter tonight.",V2F021,"Challenge memory without disproving the human origin","Seek corroboration or confront someone who knows Vale's methods",provisional
V2M004,1,10:00,Tessa Quill,Night Desk secure relay,Source concern,"One contributor heard about the anniversary and is frightened that the routing slip will be treated as a list of R suspects. Do not use their name without protection.",V2F004;V2F005,"Tie mantle disclosure to source protection","Negotiate a disclosure boundary with Maren or Arden",provisional
V2M005,1,13:00,Maren Okafor,Worker representative,No names,"The evaluator Vale met will speak only if someone commits—in writing—that no worker name will be used to identify R or explain Vale's disappearance.",V2F041,"Create a non-mystery commitment before worker evidence moves","Seek a written protection from Veridian, Parallax, or City Hall",provisional
V2M006,1,16:00,Rafi Calderón,Accounts app,Outstanding balance,"The R-associated account is still unpaid. The transaction export shows continuity, several collectors, and a change nobody agrees how to date. Decide what that story is worth.",V2F007;V2F008,"Activate debt and ledger leverage","Approach Morgan, Graham, Frankie, or Inez with bounded terms",provisional
V2M007,1,20:00,Graham Pike,Market alert,R rumor moves,"Parallax-linked chatter is moving on the claim you repeated. No source has produced a complete article. Your exposure increases with every person who calls the rumor confirmed.",V2F035;V2F039,"Force Graham to choose between provenance and amplification","Recruit belief or disclose how the tip actually spread",provisional
V2M008,1,24:00,Kit Rakes,Clip monitor,Correction pending,"Your claim that the invitation typography contains a machine key has been checked against the printer's production file. The marks are ordinary registration errors.",,"Begin visible disproof of one false theory","Correct the claim or reinterpret the disproof in public",provisional
V2M009,1,29:00,Inez Baptiste,Neighborhood voicemail,Outsiders asking,"Someone is offering cash for the name attached to the service route. Dee and Rafi are already nervous. If the neighborhood speaks, decide what protection it gets first.",V2F042,"Activate Inez before late physical evidence","Broker terms with Morgan, Arden, Celeste, or Maren",provisional
V2M010,1,38:00,Everyone at Fifteen Years of R,Event system,A point of order,"No complete article will be presented tonight. Several guests claim fragments, summaries, or promises. Treat every claim according to who benefits from calling it an article.",V2F035;V2F036;V2F039,"Lock article ambiguity and redirect attention to rumor provenance","Ask a claimant what they personally saw rather than whether they believe",provisional
V2M011,2,00:00,Everyone at Fifteen Years of R,R.,One voice,"A voice can be inherited. A voice can be rehearsed. A voice can be generated. If you met R, tell the room what you actually encountered.",V2F012;V2F013,"Open embodiment, mantle, and synthetic interpretations equally","Compare firsthand encounters and production processes",provisional
V2M012,2,04:00,Jules Kwan,R. account service,Delivery details,"Your succession message was scheduled before delivery. The service can authenticate the account association and timing, not the composer. Someone has requested the complete header.",V2F009,"Put the succession message into voluntary circulation","Choose an examiner and negotiate the scope of their conclusion",provisional
V2M013,2,07:00,Eli Navarro,Former Parallax colleague,Three different questions,"Capability, access, and autonomous behavior are not the same finding. If you release the logs, release them separately. Mira has an authorization record you never saw.",V2F015;V2F016;V2F020,"Prevent a single technical proof dump","Trade one log excerpt for authorization or corroboration",provisional
V2M014,2,10:00,Edi Velez,Payment processor,Old commission,"A redacted export confirms your old performance fee passed through an intermediary later associated with R. It does not identify the client. Jules may recognize the route.",V2F014,"Connect performance to succession without authenticating either","Compare O04 with Jules under terms Edi controls",provisional
V2M015,2,13:00,Dr. Mira Sen,Parallax Legal,Scope of approval,"The surviving authorization proves you approved the continuity project. It does not show every later use. Celeste's missing calendar entry may explain how Vale reached it.",V2F017;V2F029,"Create a responsibility bargain rather than a villain reveal","Seek Celeste and decide what responsibility to share",provisional
V2M016,2,16:00,Celeste Park,Calendar recovery,Deleted appointment,"A recoverable entry links you, Vale, and Parallax. Mira holds the matching access authorization. Neither half records what Vale learned.",V2F029,"Force Celeste to bargain across politics and Parallax","Compare records with Mira or set disclosure terms with Samira",provisional
V2M017,2,19:00,Frankie Lowell,Veridian transcription desk,Familiar words,"The succession message repeats a formulation from the First R Letter. Eli says its structure also resembles a Parallax recommendation output. Resemblance is not authorship.",V2F010,"Give Frankie a choice between supporting succession and defending origin","Compare O01 and O03 with Jules and Eli",provisional
V2M018,2,22:00,Tessa Quill,Shared drop monitor,Unknown operator,"The disputed activity interval falls outside every contributor schedule you have disclosed. You still have contributors you have not named.",V2F018;V2F020,"Make Tessa's source protection sustain both mantle and AI possibilities","Decide what boundary to confirm without naming people",provisional
V2M019,2,25:00,Arden Bell,Donor relations,Restriction invoked,"A Parallax donor condition allows funding to pause if Veridian presents unauthenticated technical claims as fact. Mira did not invoke it. Someone else just asked whether she could.",,"Escalate funding pressure without proving a culprit","Confront Mira or Celeste and decide whether to disclose the restriction",provisional
V2M020,2,29:00,Maren Okafor,Worker representative,Changing instructions,"The protected evaluator remembers persona instructions changing between supervisors. That is firsthand labor evidence, not proof that the persona was R. The worker still requires written protection.",V2F041,"Strengthen Maren's relevance to mantle/AI distinction","Trade bounded testimony only after securing commitments",provisional
V2M021,2,33:00,Rafi Calderón,Morgan Shaw,Date the change,"Your ledger may be the only independent way to date the private habit's shift. I will not call any customer R. Name your terms for a bounded look. —Morgan",V2F008,"Create a clean PI/local bargain","Negotiate ledger access and attribution with Morgan",provisional
V2M022,2,37:00,Graham Pike,Anonymous market chat,Buy certainty,"A buyer offers to cover your position if you can produce a technical source saying R operated autonomously. They do not require the source to say when.",V2F016;V2F018,"Tempt Graham to distort Eli's qualified evidence","Pressure or protect Eli and face provenance challenge",provisional
V2M023,2,41:00,Kit Rakes,Printer of record,Second correction,"The bodega prices in your cipher theory match ordinary wholesale changes and sales tax. The claimed borough coordinates do not survive the corrected totals.",V2F007,"Disprove Kit's second false theory before the progressive case","Retract or double down, then seek independent evidence",provisional
V2M024,2,47:00,Everyone at Fifteen Years of R,R.,What Vale told you,"Vale told several people different things in confidence. If Vale made a claim to you about R, decide whether protecting that confidence matters more than comparing the exact words.",,"Create voluntary comparison without broadcasting the progressive sequence","Choose whether to disclose a Vale statement and seek other recipients",provisional
V2M025,3,00:00,Everyone at Fifteen Years of R,Unknown sender,Last verified,"Vale entered the neighborhood two days ago. After a service-route gap and an automated intervention, the verified trail ends. Absence is not a body. Intervention is not intent.",V2F025;V2F026;V2F032;V2F034,"Open the Vale incident while preserving non-murder explanations","Build a voluntary route comparison",provisional
V2M026,3,04:00,Morgan Shaw,Retainer service,Client anomaly,"The lead supplied by your client was generated from a map version withdrawn before Vale began the investigation. Someone manufactured it—or reused an old template.",V2F027,"Pressure Morgan to disclose investigative contamination","Seek client context from Celeste, Samira, or Graham and label the gap",provisional
V2M027,3,07:00,Samira Vale,Personal archive,Still sealed,"The envelope you prepared after Vale asked for help disappearing remains sealed. One item may match Morgan's route. Opening it may clarify the trail and expose a private history Vale expected you to protect.",V2F028,"Make privacy a real endgame choice","Set terms with Morgan or Inez before opening or withholding O09",provisional
V2M028,3,10:00,Dee Nowak,Building audit,Two records,"The camera gap and the later automated access change are separate events. Morgan is asking to compare them. Inez knows why the service route was available.",V2F026;V2F032,"Prevent Dee's records from collapsing into a murder narrative","Secure protection and compare O10 with Morgan and Inez",provisional
V2M029,3,13:00,Eli Navarro,System monitor,After revocation,"Activity linked to Vale's profile continued after revocation. Later, an automated intervention affected the physical route. The logs do not establish the operator, intent, or whether Vale encountered it.",V2F030;V2F031;V2F032,"Supply the progressive technical bridge with explicit limitations","Find Dee and Morgan for independent physical and chronological checks",provisional
V2M030,3,16:00,Jules Kwan,Vale draft folder,Take it back,"A recovered draft contains Vale's question: “If the name chose me, could I choose it back?” The line may concern you, Vale, R, or no actual succession at all.",V2F023,"Complicate rather than settle Vale's claimant role","Compare full correspondence with Samira and decide what to admit",provisional
V2M031,3,19:00,Dr. Mira Sen,Parallax Security,Revoked means revoked,"Security confirms Vale's credential was revoked before the continued activity. It cannot exclude remapping, cloned automation, another credential, or falsified logging.",V2F030;V2F031,"Force Mira to address continued behavior without conceding autonomy","Compare authorization with Eli and Celeste and choose disclosure",provisional
V2M032,3,22:00,Edi Velez,Media render service,Output time,"A render using elements from your old commission completed during the no-known-operator interval. Tessa can bound contributor availability; Dee can bound local access. Neither can exclude remote action.",V2F019;V2F020,"Connect performance and autonomy through multiple holders","Seek Tessa or Dee rather than accepting Eli as sole authority",provisional
V2M033,3,25:00,Celeste Park,City Hall counsel,Choose the record,"If you disclose the deleted Vale meeting voluntarily, counsel can defend it as informal oversight. If someone else discloses it first, the city will deny authorizing you.",V2F029,"Make political disclosure choice urgent","Negotiate shared responsibility with Mira or worker safeguards with Maren",provisional
V2M034,3,28:00,Samira Vale,Unknown number,Old plan,"Vale's last verified route overlaps a location used during the earlier disappearance you helped arrange. That supports escape as easily as repetition of a known vulnerability.",V2F028;V2F034,"Keep voluntary disappearance live","Correct Kit or give Morgan bounded personal context",provisional
V2M035,3,31:00,Morgan Shaw,Case notes,Conference window,"You have time for one voluntary Case Conference. Invite two people whose firsthand accounts conflict. Record what each observed and what neither can establish.",V2F025;V2F026;V2F032,"Exercise the PI mechanic without forced testimony","Convene two consenting witnesses and state the remaining gap",provisional
V2M036,3,34:00,Inez Baptiste,Neighborhood line,Your price,"Institutions now need the service-route context you protected. Dee needs fair treatment. Samira needs privacy. Decide what the neighborhood receives before you connect them.",V2F042;V2F026,"Turn late evidence into commitments","Broker one protected comparison in exchange for a concrete concession",provisional
V2M037,3,43:00,Everyone at Fifteen Years of R,Host,Prepare your reconstruction,"No further messages will arrive. Decide who or what R was, what Vale was doing, and what most likely happened. The existence and fate of any article are not on the ballot because the room cannot establish them.",,"Close investigation without a publication switch","Make final bargains, public corrections, and reconstruction arguments",provisional
V2M038,1,33:00,Dee Nowak,Building management,Audit notice,"The unpreserved camera interval has been flagged. No image identifies Vale or R. If the gap becomes public without context, management will treat you as responsible for every unanswered question.",V2F026,"Give Dee an early reason to seek protection before the route reveal","Approach Inez or Morgan and negotiate how the gap will be described",provisional
V2M039,3,37:00,Maren Okafor,Protected source,The old challenge,"I kept the challenges. Correct responses came back across years and different routes. The rule changed each time and was never published. I believed only my first contact knew how—but belief is not proof. Protect me before you use this.",V2F043,"Give Lone Author a resilient late affirmative chain with a source-protection cost","Seek Frankie and Rafi for corroboration after enforcing the protection commitment",provisional
V2M040,3,40:00,Arden Bell,Veridian Archives,Before the byline,"A recovered manifest predates the first R publication. It lists an experimental persistent persona labeled R and stylistic constraints later associated with the byline. It does not identify the designer or author. Eli and Tessa can test its limits.",V2F044,"Give Synthetic Origin a late origin-specific affirmative trace","Bring Eli and Tessa into a bounded provenance comparison",provisional
